6	0.0557s	94.3247%	3293	3293
7	0.0843s	93.6081%	3673	3673
8	0.0581s	93.0785%	3758	3758
9	0.0960s	92.3451%	4677	4677
10	0.0784s	91.7872%	4556	4556
11	0.0636s	91.1902%	5145	5145
12	0.0700s	90.6008%	5691	5691
13	0.0670s	90.1644%	5551	5551
14	0.0616s	89.8196%	6263	6263
15	0.0728s	89.5358%	6199	6199
16	0.0730s	89.2074%	6664	6664
17	0.0755s	88.8349%	6946	6946
18	0.0705s	88.5183%	6728	6728
19	0.0689s	88.1316%	7330	7330
20	0.0620s	87.7624%	7257	7257
21	0.0625s	87.2942%	7787	7787
22	0.0663s	86.7594%	8240	8240
23	0.0644s	86.3231%	7994	7994
24	0.0641s	85.9162%	8791	8791
25	0.0673s	85.5453%	8601	8601
26	0.0668s	85.1627%	8891	8891
27	0.0779s	84.8841%	8527	8527
28	0.0821s	84.6688%	8091	8091
29	0.0766s	84.4582%	8288	8288
30	0.0747s	84.2907%	7959	7959
31	0.0688s	84.1287%	7981	7981
32	0.0730s	83.9733%	7927	7927
33	0.0691s	83.8470%	7637	7637
34	0.0678s	83.7272%	7621	7621
35	0.0721s	83.6288%	7434	7434
36	0.0713s	83.5415%	7472	7472
37	0.0715s	83.4633%	7534	7534
38	0.0742s	83.3989%	7387	7387
39	0.0723s	83.3383%	7425	7425
40	0.0804s	83.2888%	7258	7258
41	0.0698s	83.2415%	7286	7286
42	0.0766s	83.1973%	7294	7294
43	0.0781s	83.1623%	7153	7153
44	0.0813s	83.1295%	7193	7193
45	0.0810s	83.1038%	7057	7057
46	0.0869s	83.0796%	7077	7077
47	0.0810s	83.0587%	7044	7044
48	0.0814s	83.0438%	6892	6892
49	0.0889s	83.0305%	6880	6880
50	0.0831s	83.0233%	6719	6719
51	0.0860s	83.0188%	6668	6668
52	0.0868s	83.0182%	6571	6571
53	0.0912s	83.0223%	6434	6434
54	0.0833s	83.0295%	6352	6352
55	0.0968s	83.0411%	6214	6214
56	0.0905s	83.0557%	6130	6130
57	0.0888s	83.0721%	6105	6105
58	0.0993s	83.0902%	6050	6050
59	0.1173s	83.1050%	6193	6193
60	0.1026s	83.1197%	6222	6222
61	0.0966s	83.1296%	6685	6685
62	0.0965s	83.1491%	7230	7230
63	0.0881s	83.1702%	7216	7216
64	0.0896s	83.1933%	7022	7022
65	0.0927s	83.2057%	7064	7064
66	0.0908s	83.2163%	7116	7116
67	0.0898s	83.2266%	7114	7114
68	0.0915s	83.2412%	7039	7039
69	0.0893s	83.2597%	7004	7004
70	0.0977s	83.2808%	6838	6838
71	0.0979s	83.3040%	6694	6694
72	0.0951s	83.3293%	6556	6556
73	0.1053s	83.3564%	6413	6413
74	0.0909s	83.3850%	6345	6345
75	0.0962s	83.4145%	6198	6198
76	0.0995s	83.4449%	6071	6071
77	0.0953s	83.4764%	6022	6022
78	0.0990s	83.5083%	5960	5960
79	0.0969s	83.5414%	6081	6081
80	0.1003s	83.5748%	6148	6148
81	0.1065s	83.6085%	6156	6156
82	0.1011s	83.6396%	6366	6366
83	0.0989s	83.6712%	6313	6313
84	0.1025s	83.7056%	6268	6268
85	0.0992s	83.7395%	6128	6128
86	0.0999s	83.7733%	6094	6094
87	0.1016s	83.8072%	6050	6050
88	0.1011s	83.8410%	5968	5968
89	0.1020s	83.8750%	5881	5881
90	0.1020s	83.9089%	5787	5787
91	0.0975s	83.9423%	5748	5748
92	0.1018s	83.9744%	5758	5758
93	0.1039s	84.0063%	5716	5716
94	0.1052s	84.0360%	5817	5817
95	0.1109s	84.0642%	5916	5916
96	0.1098s	84.0873%	6411	6411
97	0.1058s	84.0993%	7417	7417
98	0.1072s	84.1031%	7768	7768
99	0.1066s	84.0910%	8330	8330
100	0.1134s	84.0713%	8421	8421
101	0.1126s	84.0419%	8831	8831
102	0.1122s	84.0069%	9510	9510
103	0.1106s	83.9661%	9470	9470
104	0.1101s	83.9154%	9809	9809
105	0.1163s	83.8673%	9604	9604
106	0.1103s	83.8139%	9862	9862
107	0.1147s	83.7620%	9929	9929
108	0.1118s	83.7174%	9634	9634
109	0.1086s	83.6715%	10020	10020
110	0.1146s	83.6217%	10035	10035
111	0.1139s	83.5582%	10747	10747
112	0.1139s	83.4863%	11124	11124
113	0.1186s	83.4074%	11232	11232
114	0.1119s	83.3354%	11442	11442
115	0.1161s	83.2738%	11064	11064
116	0.1166s	83.2163%	11551	11551
117	0.1360s	83.1451%	12011	12011
118	0.1253s	83.0678%	11895	11895
119	0.1182s	82.9874%	11745	11745
120	0.1154s	82.9129%	11336	11336
121	0.1164s	82.8458%	11458	11458
122	0.1231s	82.7827%	11631	11631
123	0.1177s	82.7185%	11481	11481
124	0.1208s	82.6594%	11284	11284
125	0.1270s	82.6016%	10971	10971
126	0.1211s	82.5419%	11063	11063
127	127.0011s	88.4536%	6678	19664
128	0.1089s	88.5830%	6568	6568
129	0.1106s	88.6196%	6526	6526
130	0.1091s	88.6559%	6490	6490
131	0.1102s	88.6917%	6459	6459
132	0.1115s	88.7270%	6430	6430
133	0.1131s	88.7618%	6403	6403
134	0.1130s	88.7960%	6382	6382
135	0.1124s	88.8296%	6364	6364
136	0.1138s	88.8620%	6388	6388
137	0.1138s	88.8927%	6453	6453
138	0.1134s	88.9226%	6455	6455
139	0.1481s	88.9512%	6491	6491
140	0.1142s	88.9793%	6482	6482
141	0.1166s	89.0066%	6494	6494
142	0.1159s	89.0327%	6545	6545
143	0.1182s	89.0578%	6578	6578
144	0.1173s	89.0821%	6607	6607
145	0.1177s	89.1049%	6669	6669
146	0.1178s	89.1240%	6894	6894
147	0.1198s	89.1421%	6928	6928
148	0.1199s	89.1597%	6931	6931
149	0.1197s	89.1754%	7037	7037
150	0.1187s	89.1895%	7123	7123
151	0.1211s	89.1997%	7376	7376
152	0.1218s	89.2038%	7776	7776
153	0.1227s	89.2025%	8129	8129
154	0.1224s	89.1934%	8630	8630
155	0.1225s	89.1843%	8654	8654
156	0.1232s	89.1756%	8661	8661
157	0.1236s	89.1675%	8639	8639
158	0.1239s	89.1589%	8688	8688
159	0.1298s	89.1473%	8893	8893
160	0.1263s	89.1357%	8919	8919
161	0.1267s	89.1244%	8932	8932
162	0.1260s	89.1121%	9017	9017
163	0.1267s	89.0998%	9036	9036
164	0.1258s	89.0876%	9057	9057
165	0.1288s	89.0763%	9023	9023
166	0.1282s	89.0691%	8771	8771
167	0.1283s	89.0669%	8441	8441
168	0.1306s	89.0662%	8337	8337
169	0.1283s	89.0672%	8210	8210
170	0.1290s	89.0692%	8135	8135
171	0.1310s	89.0718%	8074	8074
172	0.1298s	89.0744%	8068	8068
173	0.1328s	89.0773%	8043	8043
174	0.1337s	89.0802%	8029	8029
175	0.1324s	89.0833%	8006	8006
176	0.1326s	89.0866%	7978	7978
177	0.1341s	89.0902%	7942	7942
178	0.1338s	89.0942%	7904	7904
179	0.1346s	89.0985%	7862	7862
180	0.1356s	89.1032%	7817	7817
181	0.1373s	89.1084%	7769	7769
182	0.1436s	89.1138%	7732	7732
183	0.1351s	89.1194%	7698	7698
184	0.1390s	89.1252%	7676	7676
185	0.1369s	89.1312%	7646	7646
186	0.1375s	89.1372%	7630	7630
187	0.1385s	89.1432%	7614	7614
188	0.1385s	89.1495%	7582	7582
189	0.1500s	89.1558%	7565	7565
190	0.1396s	89.1621%	7541	7541
191	0.1404s	89.1686%	7524	7524
192	0.1409s	89.1751%	7504	7504
193	0.1408s	89.1816%	7487	7487
194	0.1411s	89.1881%	7480	7480
195	0.1417s	89.1946%	7467	7467
196	84.6988s	90.2005%	12395	18647
197	0.1422s	90.2173%	12115	12115
198	0.1434s	90.1593%	11918	11918
199	0.1444s	90.1034%	11839	11839
200	0.1449s	90.0503%	11724	11724
201	0.1457s	90.0003%	11596	11596
202	0.1458s	89.9546%	11412	11412
203	0.1462s	89.9118%	11300	11300
204	0.1463s	89.8702%	11293	11293
205	0.1471s	89.8313%	11150	11150
