1	0.0003	2166	0
2	0.0002	2122	2122
3	0.0001	2158	2158
4	0.0001	2140	2140
5	116.5287	2146	2146
6	0.0697	3037	3037
7	0.0698	3321	3321
8	0.0680	3423	3423
9	0.0692	4315	4315
10	0.0717	4192	4192
11	0.0708	4870	4870
12	0.0675	5414	5414
13	0.0687	5259	5259
14	0.0624	6043	6043
15	0.0708	5990	5990
16	0.0669	6463	6463
17	0.0725	6702	6702
18	0.0747	6498	6498
19	0.0716	7000	7000
20	0.0727	6817	6817
21	0.0721	7413	7413
22	0.0658	7998	7998
23	0.0779	7583	7583
24	0.0703	8276	8276
25	0.0738	7910	7910
26	0.0708	8350	8350
27	0.0734	8250	8250
28	0.0717	7773	7773
29	0.0729	7917	7917
30	0.0768	7566	7566
31	0.0730	7597	7597
32	0.0805	7554	7554
33	0.0683	7268	7268
34	0.0753	7276	7276
35	0.0802	7092	7092
36	0.0911	7162	7162
37	0.0801	7242	7242
38	0.0869	7079	7079
39	0.0746	7132	7132
40	0.0764	6963	6963
41	0.0890	7011	7011
42	0.0733	7023	7023
43	0.0952	6867	6867
44	0.0917	6902	6902
45	0.0744	6735	6735
46	0.0794	6744	6744
47	0.0929	6695	6695
48	0.0780	6530	6530
49	0.0804	6515	6515
50	0.0816	6355	6355
51	0.0873	6309	6309
52	0.0836	6214	6214
53	0.0859	6078	6078
54	0.0855	6005	6005
55	0.0876	5875	5875
56	0.0877	5803	5803
57	0.0870	5795	5795
58	0.0845	5752	5752
59	0.0915	5907	5907
60	0.0933	5934	5934
61	0.0961	6393	6393
62	0.1161	7044	7044
63	0.0896	7013	7013
64	0.0897	6743	6743
65	0.0932	6867	6867
66	0.0923	6778	6778
67	0.0881	6654	6654
68	0.0895	6572	6572
69	0.0922	6578	6578
70	0.0921	6421	6421
71	0.0949	6280	6280
72	0.1018	6154	6154
73	0.1041	6023	6023
74	0.0949	5968	5968
75	0.0996	5829	5829
76	0.0927	5702	5702
77	0.1030	5624	5624
78	0.0977	5561	5561
79	0.1063	5716	5716
80	0.0979	5807	5807
81	0.1117	5894	5894
82	0.1005	6064	6064
83	0.0975	6055	6055
84	0.1103	5907	5907
85	0.0979	5742	5742
86	0.1016	5714	5714
87	0.1072	5677	5677
88	0.1123	5599	5599
89	0.1076	5520	5520
90	0.1182	5431	5431
91	0.1139	5404	5404
92	0.1099	5418	5418
93	0.1166	5367	5367
94	0.1190	5454	5454
95	0.1189	5583	5583
96	0.1144	6124	6124
97	0.1145	7186	7186
98	0.1120	7521	7521
99	0.1102	7831	7831
100	0.1173	7820	7820
101	0.1157	8181	8181
102	0.1122	8851	8851
103	0.1235	8826	8826
104	0.1199	9078	9078
105	0.1250	8798	8798
106	0.1272	9149	9149
107	0.1202	9485	9485
108	0.1320	9321	9321
109	0.1275	9886	9886
110	0.1248	9778	9778
111	0.1173	10078	10078
112	0.1236	10862	10862
113	0.1239	10771	10771
114	0.1237	10951	10951
115	0.1282	10700	10700
116	0.1265	11079	11079
117	0.1245	11152	11152
118	0.1258	10851	10851
119	0.1296	10914	10914
120	0.1294	10556	10556
121	0.1358	10923	10923
122	0.1285	11364	11364
123	0.1239	11114	11114
124	0.1280	10819	10819
125	0.1291	10384	10384
126	0.1324	10520	10520
127	0.1337	462	19091
128	0.0004	462	462
129	0.0001	461	461
130	0.0000	461	461
131	112.4525	461	461
132	0.0591	446	446
133	0.0632	446	446
134	0.0699	467	467
135	0.0585	522	522
136	0.0671	866	866
137	0.0677	1252	1252
138	0.0718	1338	1338
139	0.0704	1608	1608
140	0.0880	1611	1611
141	0.0826	1783	1783
142	0.0703	1976	1976
143	0.0735	2055	2055
144	0.0710	2328	2328
145	0.0826	2470	2470
146	0.0720	2955	2955
147	0.0781	2932	2932
148	0.0713	2773	2773
149	0.0708	3084	3084
150	0.0726	3031	3031
151	0.0772	3606	3606
152	0.0779	4198	4198
153	0.0760	4093	4093
154	0.0742	4552	4552
155	0.0732	4162	4162
156	0.0798	4378	4378
157	0.0856	4394	4394
158	0.0777	4147	4147
159	0.0756	4621	4621
160	0.0861	4487	4487
161	0.0720	4674	4674
162	0.0826	4596	4596
163	0.0879	4420	4420
164	0.0790	4648	4648
165	0.0779	4461	4461
166	0.0825	4576	4576
167	0.0793	4625	4625
168	0.0801	4401	4401
169	0.0894	4348	4348
170	0.0747	4077	4077
171	0.0866	3954	3954
172	0.0849	3924	3924
173	0.0738	3777	3777
174	0.0861	3714	3714
175	0.0881	3564	3564
176	0.0852	3443	3443
177	0.0841	3292	3292
178	0.0918	3153	3153
179	0.0897	3021	3021
180	0.0855	2910	2910
181	0.0935	2819	2819
182	0.0866	2734	2734
183	0.0862	2653	2653
184	0.0900	2608	2608
185	0.0852	2580	2580
186	0.0991	2648	2648
187	0.0903	2752	2752
188	0.0897	2766	2766
189	0.0899	2887	2887
190	0.0897	2892	2892
191	0.0888	2971	2971
192	0.0971	3087	3087
193	0.0992	3105	3105
194	0.0962	3251	3251
195	0.0993	3229	3229
196	0.0991	1536	17125
197	0.0001	1308	1308
198	0.0000	1362	1362
199	0.0000	1442	1442
200	110.4104	1506	1506
201	0.0703	1966	1966
202	0.0612	2709	2709
203	0.0651	2498	2498
204	0.0694	2687	2687
205	0.0645	2335	2335
