6	0.0592s	94.6651%	3155	3155
7	0.0579s	93.9613%	3484	3484
8	0.0588s	93.4511%	3625	3625
9	0.0608s	92.7586%	4479	4479
10	0.0654s	92.2553%	4324	4324
11	0.0601s	91.7387%	4925	4925
12	0.0649s	91.2041%	5496	5496
13	0.0616s	90.7891%	5358	5358
14	0.0656s	90.4000%	6183	6183
15	0.0640s	90.0360%	6175	6175
16	0.0751s	89.6302%	6542	6542
17	0.0634s	89.2094%	6786	6786
18	0.0673s	88.8620%	6584	6584
19	0.0624s	88.4762%	7049	7049
20	0.0670s	88.1581%	6857	6857
21	0.0698s	87.8146%	7324	7324
22	0.0598s	87.3819%	7965	7965
23	0.0685s	87.0211%	7651	7651
24	0.0595s	86.6142%	8324	8324
25	0.0631s	86.3070%	8019	8019
26	0.0643s	85.9125%	8750	8750
27	0.0649s	85.5663%	8622	8622
28	0.0655s	85.3085%	8075	8075
29	0.0663s	85.1017%	8122	8122
30	0.0660s	84.9458%	7773	7773
31	0.0665s	84.8141%	7745	7745
32	0.0668s	84.6936%	7658	7658
33	0.0731s	84.5993%	7360	7360
34	0.0706s	84.5127%	7333	7333
35	0.0681s	84.4434%	7149	7149
36	0.0699s	84.3815%	7195	7195
37	0.0688s	84.3244%	7268	7268
38	0.0695s	84.2769%	7119	7119
39	0.0710s	84.2278%	7167	7167
40	0.0739s	84.1859%	7002	7002
41	0.0698s	84.1425%	7048	7048
42	0.0713s	84.0998%	7073	7073
43	0.0720s	84.0650%	6932	6932
44	0.0719s	84.0307%	6963	6963
45	0.0724s	84.0038%	6810	6810
46	0.0730s	83.9783%	6816	6816
47	0.0729s	83.9569%	6774	6774
48	0.0747s	83.9419%	6618	6618
49	0.0774s	83.9292%	6596	6596
50	0.0776s	83.9229%	6438	6438
51	0.0784s	83.9199%	6384	6384
52	0.0795s	83.9213%	6290	6290
53	0.0790s	83.9272%	6156	6156
54	0.0798s	83.9366%	6078	6078
55	0.0811s	83.9502%	5943	5943
56	0.0831s	83.9671%	5861	5861
57	0.0816s	83.9867%	5838	5838
58	0.0820s	84.0085%	5789	5789
59	0.0818s	84.0295%	5925	5925
60	0.0842s	84.0506%	5949	5949
61	0.0833s	84.0685%	6372	6372
62	0.0851s	84.0859%	7011	7011
63	0.0840s	84.0971%	7064	7064
64	0.0844s	84.1117%	6847	6847
65	0.0873s	84.1240%	6840	6840
66	0.0862s	84.1359%	6895	6895
67	0.0872s	84.1441%	6885	6885
68	0.0869s	84.1528%	6853	6853
69	0.0873s	84.1623%	6845	6845
70	0.0886s	84.1736%	6681	6681
71	0.0890s	84.1869%	6532	6532
72	0.0901s	84.2023%	6419	6419
73	0.0895s	84.2192%	6295	6295
74	0.0899s	84.2378%	6226	6226
75	0.0908s	84.2578%	6087	6087
76	0.0912s	84.2797%	5952	5952
77	0.0924s	84.3029%	5854	5854
78	0.0976s	84.3275%	5774	5774
79	0.0924s	84.3554%	5859	5859
80	0.0936s	84.3839%	5938	5938
81	0.0926s	84.4133%	6091	6091
82	0.0934s	84.4423%	6337	6337
83	0.0938s	84.4673%	6353	6353
84	0.0937s	84.4971%	6112	6112
85	0.0960s	84.5277%	5952	5952
86	0.1118s	84.5576%	5897	5897
87	0.0973s	84.5870%	5842	5842
88	0.0980s	84.6158%	5761	5761
89	0.0972s	84.6444%	5676	5676
90	0.0988s	84.6727%	5586	5586
91	0.0999s	84.7013%	5558	5558
92	0.0980s	84.7292%	5579	5579
93	0.0989s	84.7570%	5531	5531
94	0.1021s	84.7839%	5625	5625
95	0.1018s	84.8082%	5763	5763
