121	2.3174	93.3871%
122	2.5000	92.5474%
123	1.9569	91.8741%
124	2.1924	91.1950%
125	2.0110	90.4936%
126	1.9357	89.9769%
127	2.1984	89.4832%
128	2.1074	89.1529%
129	2.0910	89.0251%
130	1.7552	88.8014%
131	1.7522	88.7053%
132	1.7686	88.4785%
133	1.7798	88.1787%
134	1.7820	88.2215%
135	1.7842	87.9574%
136	1.8383	87.8564%
137	1.7945	87.5111%
138	1.7742	87.4773%
139	1.7788	87.4603%
140	1.8347	87.2847%
