6	0.0448s	4343	4343
7	0.0336s	4518	4518
8	0.0354s	4557	4557
9	0.0311s	5412	5412
10	0.0400s	5291	5291
11	0.0334s	5732	5732
12	0.0350s	6190	6190
13	0.0299s	6070	6070
14	0.0288s	6654	6654
15	0.0380s	6657	6657
16	0.0387s	7111	7111
17	0.0303s	7404	7404
18	0.0321s	7228	7228
19	0.0299s	7737	7737
20	0.0276s	7692	7692
21	0.0416s	8279	8279
22	0.0352s	8952	8952
23	0.0311s	8692	8692
24	0.0289s	9531	9531
25	0.0320s	9353	9353
26	0.0303s	9777	9777
27	0.0307s	9586	9586
28	0.0313s	9211	9211
29	0.0309s	9264	9264
30	0.0314s	8942	8942
31	0.0320s	8925	8925
32	0.0313s	8927	8927
33	0.0320s	8689	8689
34	0.0339s	8648	8648
35	0.0399s	8477	8477
36	0.0386s	8480	8480
37	0.0392s	8528	8528
38	0.0406s	8410	8410
39	0.0363s	8441	8441
40	0.0349s	8304	8304
41	0.0334s	8321	8321
42	0.0337s	8325	8325
43	0.0340s	8201	8201
44	0.0343s	8212	8212
45	0.0428s	8084	8084
46	0.0365s	8081	8081
47	0.0385s	8038	8038
48	0.0377s	7906	7906
49	0.0358s	7884	7884
50	0.0366s	7738	7738
51	0.0357s	7678	7678
52	0.0390s	7586	7586
53	0.0390s	7461	7461
54	0.0365s	7375	7375
55	0.0370s	7250	7250
56	0.0375s	7162	7162
57	0.0378s	7117	7117
58	0.0379s	7054	7054
59	0.0393s	7137	7137
60	0.0382s	7136	7136
61	0.0395s	7490	7490
62	0.0432s	8063	8063
63	0.0425s	8068	8068
64	0.0404s	8036	8036
65	0.0551s	8209	8209
66	0.0422s	8253	8253
67	0.0406s	8214	8214
68	0.0400s	8136	8136
69	0.0444s	8089	8089
70	0.0422s	7959	7959
71	0.0415s	7832	7832
72	0.0502s	7726	7726
73	0.0428s	7611	7611
74	0.0444s	7518	7518
75	0.0430s	7384	7384
76	0.0563s	7256	7256
77	0.0563s	7174	7174
78	0.0446s	7100	7100
79	0.0490s	7123	7123
80	0.0460s	7185	7185
81	0.0448s	7188	7188
82	0.0524s	7305	7305
83	0.0557s	7346	7346
84	0.0468s	7241	7241
85	0.0459s	7141	7141
86	0.0498s	7079	7079
87	0.0478s	7010	7010
88	0.0475s	6940	6940
89	0.0467s	6869	6869
90	0.0532s	6793	6793
91	0.0487s	6756	6756
92	0.0502s	6748	6748
93	0.0478s	6698	6698
94	0.0544s	6720	6720
95	0.0506s	6788	6788
96	0.0768s	7200	7200
97	0.0494s	8023	8023
98	0.0493s	8432	8432
99	0.0559s	9020	9020
100	0.0510s	9201	9201
101	0.0506s	9701	9701
102	0.0550s	10325	10325
103	0.0597s	10311	10311
104	0.0511s	10618	10618
105	0.0547s	10503	10503
106	0.0520s	10672	10672
107	0.0664s	10793	10793
108	0.0564s	10600	10600
109	0.0546s	11107	11107
110	0.0608s	11295	11295
111	0.0576s	11858	11858
112	0.0539s	11932	11932
113	0.0626s	11865	11865
114	0.0635s	12061	12061
115	0.0556s	11864	11864
116	0.0537s	12184	12184
117	0.0643s	12502	12502
118	0.0536s	12597	12597
119	0.0563s	12685	12685
120	0.0612s	12433	12433
121	0.0573s	12320	12320
122	0.0560s	12258	12258
123	0.0671s	12107	12107
124	0.0589s	11919	11919
125	0.0657s	11596	11596
126	0.0739s	11582	11582
127	30.0592s	7272	25961
128	0.0662s	7064	7064
129	0.0698s	6999	6999
130	0.0629s	6957	6957
131	0.0634s	6923	6923
132	0.0718s	6895	6895
133	0.0643s	6867	6867
134	0.0669s	6841	6841
135	0.0760s	6819	6819
136	0.0740s	6840	6840
137	0.0656s	6899	6899
138	0.0665s	6907	6907
