181	1.1155s	5081	5081
182	1.9262s	5167	5167
183	1.7302s	5083	5083
184	1.8004s	5175	5175
185	2.2443s	5117	5117
186	0.0149s	5111	5111
187	0.0135s	5154	5154
188	0.0140s	5157	5157
189	0.0350s	5211	5211
190	0.0329s	5215	5215
191	0.0203s	5262	5262
192	0.0188s	5332	5332
193	0.0229s	5346	5346
194	0.0154s	5429	5429
195	0.0226s	5419	5419
196	1.4086s	7104	19359
197	2.1047s	7057	7057
198	1.8040s	7215	7215
199	1.7467s	7547	7547
200	2.0451s	7581	7581
201	0.0108s	7544	7544
202	0.0139s	7495	7495
203	0.0133s	7490	7490
204	0.0139s	7699	7699
205	0.0137s	7515	7515
