1	1.4001s	5315	5315
2	3.1541s	5654	5654
3	2.9232s	5877	5877
4	2.8942s	6038	6038
5	3.0435s	6215	6215
6	0.0259s	6454	6454
7	0.0275s	6754	6754
8	0.0206s	6765	6765
9	0.0203s	7355	7355
10	0.0217s	7266	7266
11	0.0193s	7508	7508
12	0.0236s	7853	7853
13	0.0192s	7788	7788
14	0.0236s	7893	7893
15	0.0258s	7901	7901
16	0.0201s	8348	8348
17	0.0202s	8676	8676
18	0.0201s	8553	8553
19	0.0203s	8839	8839
20	0.0203s	8841	8841
21	0.0208s	9581	9581
22	0.0197s	10535	10535
23	0.0210s	10678	10678
24	0.0205s	11477	11477
25	0.0318s	11273	11273
26	0.0293s	11382	11382
27	0.0302s	11048	11048
28	0.0275s	10682	10682
29	0.0294s	10636	10636
30	0.0263s	10373	10373
31	0.0242s	10309	10309
32	0.0297s	10322	10322
33	0.0252s	10171	10171
34	0.0322s	10158	10158
35	0.0321s	10048	10048
36	0.0304s	10021	10021
37	0.0254s	10024	10024
38	0.0314s	9936	9936
39	0.0347s	9936	9936
40	0.0316s	9848	9848
41	0.0391s	9832	9832
42	0.0314s	9820	9820
43	0.0285s	9744	9744
44	0.0355s	9727	9727
45	0.0337s	9650	9650
46	0.0597s	9625	9625
47	0.0437s	9596	9596
48	0.0325s	9521	9521
49	0.0354s	9504	9504
50	0.0339s	9418	9418
51	0.0318s	9377	9377
52	0.0350s	9320	9320
53	0.0315s	9247	9247
54	0.0305s	9203	9203
55	0.0315s	9131	9131
56	0.0406s	9089	9089
57	0.0386s	9076	9076
58	0.0360s	9047	9047
59	0.0402s	9114	9114
60	0.0324s	9125	9125
61	0.0425s	9380	9380
62	0.0357s	9900	9900
63	0.0369s	10008	10008
64	0.0320s	9658	9658
65	0.0312s	9968	9968
66	0.0350s	9853	9853
67	0.0398s	10018	10018
68	0.0336s	9988	9988
69	0.0416s	9985	9985
70	0.0417s	9913	9913
71	0.0420s	9836	9836
72	0.0410s	9785	9785
73	0.0428s	9716	9716
74	0.0353s	9632	9632
75	0.0353s	9544	9544
76	0.0352s	9453	9453
77	0.0370s	9395	9395
78	0.0438s	9330	9330
79	0.0366s	9337	9337
80	0.0363s	9358	9358
81	0.0378s	9350	9350
82	0.0371s	9491	9491
83	0.0367s	9362	9362
84	0.0387s	9263	9263
85	0.0375s	9184	9184
86	0.0470s	9152	9152
87	0.0668s	9094	9094
88	0.0591s	9034	9034
89	0.0496s	8974	8974
90	0.0421s	8901	8901
91	0.0478s	8866	8866
92	0.0484s	8835	8835
93	0.0490s	8780	8780
94	0.0490s	8779	8779
95	0.0470s	8815	8815
96	0.0512s	9164	9164
97	0.0499s	9943	9943
98	0.0496s	10439	10439
99	0.0508s	11213	11213
100	0.0425s	11479	11479
101	0.0504s	11960	11960
102	0.0533s	12584	12584
103	0.0512s	12860	12860
104	0.0434s	13363	13363
105	0.0515s	13305	13305
106	0.0431s	13532	13532
107	0.0513s	13891	13891
108	0.0441s	13836	13836
109	0.0542s	13964	13964
110	0.0456s	13722	13722
111	0.0454s	13400	13400
112	0.0558s	13353	13353
113	0.0463s	13427	13427
114	0.0455s	13691	13691
115	0.0567s	13676	13676
116	0.0660s	14005	14005
117	0.0718s	14214	14214
118	0.0686s	14227	14227
119	0.0745s	14135	14135
120	0.0563s	13886	13886
121	0.0575s	13549	13549
122	0.0590s	13259	13259
123	0.0624s	13218	13218
124	0.0592s	13157	13157
125	0.0598s	13006	13006
126	0.0485s	12869	12869
127	3.7476s	10420	30577
128	3.8142s	8591	8591
129	3.7470s	8198	8198
130	3.6830s	8041	8041
131	4.1039s	7836	7836
132	0.0626s	7612	7612
133	0.0517s	7594	7594
134	0.0640s	7585	7585
135	0.0507s	7578	7578
136	0.0641s	7597	7597
137	0.0663s	7652	7652
138	0.0511s	7666	7666
139	0.0511s	7696	7696
140	0.0528s	7696	7696
141	0.0517s	7734	7734
142	0.0777s	7785	7785
143	0.0566s	7818	7818
144	0.0667s	7855	7855
145	0.0555s	7907	7907
146	0.0664s	8134	8134
147	0.0676s	8213	8213
148	0.0686s	8241	8241
149	0.0691s	8351	8351
150	0.0579s	8429	8429
151	0.0692s	8606	8606
152	0.0564s	8959	8959
153	0.0710s	9332	9332
154	0.0566s	9850	9850
155	0.0556s	9808	9808
156	0.0549s	9732	9732
157	0.0727s	9757	9757
158	0.0752s	9865	9865
159	0.0581s	10158	10158
160	0.0729s	10260	10260
161	0.0717s	10367	10367
162	0.0581s	10444	10444
163	0.0588s	10448	10448
164	0.0758s	10471	10471
165	0.0693s	10462	10462
166	0.0738s	10255	10255
167	0.0748s	10057	10057
168	0.0603s	10004	10004
169	0.0596s	9933	9933
170	0.0757s	9897	9897
171	0.0603s	9888	9888
172	0.0600s	9914	9914
173	0.0594s	9913	9913
174	0.0605s	9915	9915
175	0.0803s	9909	9909
176	0.0772s	9893	9893
177	0.0735s	9867	9867
178	0.0729s	9850	9850
179	0.0653s	9829	9829
180	0.0619s	9808	9808
181	0.0638s	9786	9786
182	0.0635s	9779	9779
183	0.0748s	9767	9767
184	0.0792s	9762	9762
185	0.0827s	9750	9750
186	0.0768s	9747	9747
187	0.0816s	9750	9750
188	0.0824s	9733	9733
189	0.0849s	9736	9736
190	0.0884s	9730	9730
191	0.0683s	9732	9732
192	0.0651s	9717	9717
193	0.0781s	9708	9708
194	0.0856s	9706	9706
195	0.0883s	9703	9703
196	5.0727s	17959	20995
197	4.3137s	16442	16442
198	4.2925s	15728	15728
199	4.2358s	14839	14839
200	4.9587s	15224	15224
201	0.0711s	14974	14974
202	0.0695s	14705	14705
203	0.0692s	14527	14527
204	0.0841s	14433	14433
205	0.0738s	14343	14343
