making init decomposition result: 23.01761507987976

 >> onlinecp rank-10 n_iter-1 mu-1 transformed-True
init_time: 0.18840503692626953
1th_iter: 0.39145612716674805 20012.69814440216
2th_iter: 0.35310959815979004 21699.581280846356
3th_iter: 0.7002184391021729 25667.508664298148
4th_iter: 1.2406985759735107 26927.654272287175
5th_iter: 0.8540632724761963 25781.70493335574
6th_iter: 0.8411638736724854 25415.45140273267
7th_iter: 1.4547712802886963 24763.5827409318
8th_iter: 1.9013316631317139 24061.680721773704
9th_iter: 1.594831943511963 23431.245622271395
10th_iter: 1.5522935390472412 23106.991185079532
11th_iter: 2.132610321044922 24263.633462790876
12th_iter: 1.7751996517181396 23766.633480321274
13th_iter: 2.010186195373535 23442.967429934848
14th_iter: 1.906313180923462 22973.012508090935
15th_iter: 2.495971202850342 22793.076523753065
16th_iter: 2.4667725563049316 22431.39016717785
17th_iter: 2.1397297382354736 22139.89524951306
18th_iter: 2.700568914413452 25201.685606282044
19th_iter: 2.5021731853485107 30739.881133398452
20th_iter: 2.4087157249450684 33616.990470392724
21th_iter: 2.7278363704681396 33371.93240945494
22th_iter: 2.905609130859375 32883.695840479675
23th_iter: 2.9763267040252686 30418.351576679695
24th_iter: 2.8534138202667236 68705.05833591006
25th_iter: 2.9854679107666016 52699.12641503231
26th_iter: 3.542598247528076 43196.46596722408
27th_iter: 2.6685633659362793 36071.631142384635
28th_iter: 2.7790541648864746 29751.282317969442
29th_iter: 3.077768325805664 26906.07801607371
30th_iter: 3.363304853439331 25900.898319123302
31th_iter: 3.3819470405578613 24903.546288088815
32th_iter: 3.4796416759490967 22443.30434919947
33th_iter: 3.242718458175659 21358.11289063076
34th_iter: 3.8611011505126953 20757.400813741595
35th_iter: 3.896838426589966 20189.765672196037
36th_iter: 3.6975767612457275 19848.927563159268
37th_iter: 4.176507472991943 19649.471787637834
38th_iter: 4.2063798904418945 49818.20369974626
39th_iter: 3.7089076042175293 45661.049023757325
||A-B||: 165338.03040168507
[[ 36.   65.  162.  203.  206.  202.  196.  190.  190.  180. ]
 [ 96.7  99.9 103.1 108.1 111.7 113.6 116.7 118.5 121.2 124.6]]
created ./sample_video/transformed_online_cp-10.avi 0.1446056365966797
